keyspace	worload	threads	searchRestart-castle	searchRestart-icdcn	searchRestart-ppop	searchRestart-citrus	searchRestart-howley	insertRestart-castle	insertRestart-icdcn	insertRestart-ppop	insertRestart-citrus	insertRestart-howley	deleteRestart-castle	deleteRestart-icdcn	deleteRestart-ppop	deleteRestart-citrus	deleteRestart-howley	SearchTime-castle	SearchTime-icdcn	SearchTime-ppop	SearchTime-citrus	SearchTime-howley	InsertTime-castle	InsertTime-icdcn	InsertTime-ppop	InsertTime-citrus	InsertTime-howley	DeleteTime-castle	DeleteTime-icdcn	DeleteTime-ppop	DeleteTime-citrus	DeleteTime-howley	AvgSeeLength-castle	AvgSeeLength-icdcn	AvgSeeLength-ppop	AvgSeeLength-citrus	AvgSeeLength-howley	InitialTreeHt-castle	InitialTreeHt-icdcn	InitialTreeHt-ppop	InitialTreeHt-citrus	InitialTreeHt-howley	FinalTreeHt-castle	FinalTreeHt-icdcn	FinalTreeHt-ppop	FinalTreeHt-citrus	FinalTreeHt-howley	SeeTime-castle	SeeTime-icdcn	SeeTime-ppop	SeeTime-citrus	SeeTime-howley	Mops-castle	Mops-icdcn	Mops-ppop	Mops-citrus	Mops-howley	LLCloadMiss-castle	LLCloadMiss-icdcn	LLCloadMiss-ppop	LLCloadMiss-citrus	LLCloadMiss-howley	LLCstoreMiss-castle	LLCstoreMiss-icdcn	LLCstoreMiss-ppop	LLCstoreMiss-citrus	LLCstoreMiss-howley	MopsRelative-castle	MopsRelative-icdcn	MopsRelative-ppop	MopsRelative-citrus	MopsRelative-howley
2000000	90-9-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82	1.07	1.24	1.4	1.32	0.86	1.17	1.3	1.56	1.39	0.96	1.26	1.35	1.76	1.66	26.85	26.85	28.41	27.94	26.85	50.2	50.2	49.4	52.2	50.2	52.2	52.8	52.8	55.2	53.2	0.75	1	1.18	1.34	1.25	1.08	0.85	0.74	0.66	0.7	11.35	13.2	22.55	20.31	20.99	11.35	26	25.95	30.78	32.95	1.54	1.21	1.06	0.94	1
2000000	90-9-1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91	1.23	1.47	1.52	1.4	0.96	1.33	1.53	1.71	1.47	1.2	1.6	1.6	2.44	1.83	26.82	26.84	28.52	27.9	26.84	50.2	50.2	49.4	52.2	50.2	51.2	51.4	52.6	53.4	51.2	0.84	1.16	1.4	1.47	1.32	1.96	1.46	1.27	1.21	1.32	12.55	13.5	22.37	19.13	21.5	12.55	48.68	40.24	47.45	42.99	1.48	1.11	0.96	0.92	1
2000000	90-9-1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97	1.35	1.55	1.62	1.38	1.01	1.35	1.61	1.79	1.44	1.33	1.81	1.74	2.8	1.87	26.74	26.78	28.53	27.83	26.78	50.2	50.2	49.4	52.2	50.2	50.6	50.8	52.4	53.4	50.8	0.9	1.27	1.48	1.53	1.31	3.71	2.75	2.41	2.21	2.66	13.5	13.26	22.44	20.05	21.97	13.5	52.14	43.05	86.4	46.51	1.39	1.03	0.91	0.83	1
2000000	90-9-1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.37	1.59	1.69	1.41	1.05	1.41	1.64	1.86	1.47	1.36	1.88	1.77	3.05	1.92	26.65	26.69	28.47	27.74	26.69	50.2	50.2	49.4	52.2	50.2	50.4	50.4	51.4	53	50.6	0.94	1.3	1.52	1.59	1.33	7.19	5.4	4.73	4.19	5.24	14.62	12.57	22.78	19.81	22.37	14.62	48.44	39.74	90.33	42.62	1.37	1.03	0.9	0.8	1
2000000	90-9-1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05	1.46	1.63	1.76	1.47	1.09	1.51	1.67	1.92	1.54	1.4	2.04	1.81	3.33	2	26.54	26.59	28.38	27.64	26.59	50.2	50.2	49.4	52.2	50.2	50	50.8	51.6	52.8	50.4	0.98	1.39	1.56	1.65	1.41	13.81	10.13	9.23	7.99	10.02	15.62	12.14	23.11	19.57	23.08	15.62	46.23	36.85	82.56	37.57	1.38	1.01	0.92	0.8	1
2000000	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14	1.49	1.72	1.86	1.57	1.18	1.53	1.77	2.03	1.63	1.5	2.04	1.9	190.69	2.11	26.45	26.49	28.3	27.64	26.5	50.2	50.2	49.4	52.2	50.2	50.4	50	51	53.8	50.2	1.07	1.42	1.65	1.74	1.5	25.55	19.96	17.49	8.07	18.89	16.83	11.92	23.46	19.65	23.99	16.83	45.69	37.13	72.85	36.09	1.35	1.06	0.93	0.43	1
10000	70-20-10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0.3	0.27	0.26	0.3	0.32	0.31	0.31	0.32	0.38	0.33	0.37	0.34	0.36	0.43	16.68	16.57	16.22	17.88	16.31	28.8	28.8	26.4	30.8	28.8	60.2	60.8	27	65.4	59.2	0.21	0.23	0.21	0.2	0.24	2.5	2.43	2.53	2.62	2.26	0.06	0.23	0.09	0.12	0.05	0.06	47.64	46.2	50.84	59.18	1.11	1.08	1.12	1.16	1
10000	70-20-10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0.38	0.34	0.34	0.36	0.44	0.48	0.43	0.5	0.5	0.58	0.75	0.58	0.95	0.75	19.23	18.6	16.2	19.79	18.8	28.8	28.8	26.4	30.8	28.8	72.4	71.2	26.2	72.4	73.8	0.28	0.3	0.27	0.28	0.3	4.01	3.72	4.14	3.73	3.71	15.95	30.87	11.84	21.7	6.61	15.95	78.61	67.81	72.81	71.32	1.08	1	1.12	1.01	1
10000	70-20-10	4	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0.47	0.5	0.42	0.54	0.45	0.56	0.59	0.53	0.78	0.62	0.73	0.93	0.71	1.38	0.93	24.77	24.14	16.16	21.85	24.32	28.8	28.8	26.4	30.8	28.8	82.8	82.6	27.2	78	85.2	0.4	0.42	0.35	0.45	0.39	6.45	6.05	6.99	4.67	6.19	27.5	49.47	20.74	50.04	11.86	27.5	79.9	69.96	86.04	74.11	1.04	0.98	1.13	0.75	1
10000	70-20-10	8	0	0	0	0	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.49	0.54	0.42	0.68	0.47	0.59	0.63	0.53	0.94	0.65	0.75	0.98	0.71	1.66	0.97	29.64	29.03	16.12	27.12	29.07	28.8	28.8	26.4	30.8	28.8	83.8	83.2	26.4	83.8	80.6	0.42	0.46	0.35	0.55	0.41	12.48	11.35	13.83	7.34	11.9	25.91	41.52	20.05	54.77	11.73	25.91	78.12	68.41	80.97	72.61	1.05	0.95	1.16	0.62	1
10000	70-20-10	16	0	0.01	0	0	0.05	0.01	0.01	0.02	0.02	0.01	0.03	0.02	0.01	0.02	0.02	0.51	0.56	0.42	0.84	0.48	0.61	0.66	0.53	1.13	0.66	0.77	1	0.71	2.23	0.98	32.64	31.59	16.1	30.31	32.04	28.8	28.8	26.4	30.8	28.8	83.6	81.4	26.6	85.4	80.8	0.44	0.48	0.35	0.67	0.43	24.13	21.97	27.82	11.72	23.4	23.22	32.21	18.55	52.96	11.25	23.22	76.44	66.72	71.85	70.84	1.03	0.94	1.19	0.5	1
